RoomsCount;TotalArea;FloorType;WallType;RepairType;BuildingAge;BalconyBlockPresence;ElevatorPresence;BanksCount;BarsCount;KindergartensCount;FillingStationsCount;CafesCount;CinemasCount;SubwayStationcCount;ClothingStoresCount;PublicTransportStopsCount;CulturalParksCount;PizzeriasCount;ChildsClinicsCount;PostOfficesCount;DentalClinicsCount;GroceryStoresCount;ShoppingMallsCount;UniversitiesCount;SchoolsCount;Value
3;66,6;Первый;Кирпичные;Косметический ремонт;61;Нет;Нет;4;3;12;0;1;0;0;2;10;0;1;3;3;4;9;2;0;9;2500000
3;66,6;Первый;Кирпичные;Косметический ремонт;61;Нет;Нет;4;3;12;0;1;0;0;2;10;0;1;3;3;4;9;2;0;9;2550000
3;71,2;Последний;Кирпичные;Евроремонт;64;Да;Нет;1;2;3;2;1;0;0;0;5;2;0;5;1;4;4;0;6;2;3600000
3;78;Не первый и не последний;Панельные;Без ремонта;0;Да;Нет;2;2;6;0;0;1;0;3;8;0;2;0;2;1;14;1;0;5;3600000
1;37,8;Не первый и не последний;Панельные;Косметический ремонт;1;Да;Да;2;3;7;1;0;1;0;3;8;0;2;0;2;1;13;1;0;5;2850000
1;34;Не первый и не последний;Кирпичные;Евроремонт;2;Да;Да;9;3;10;4;12;3;1;21;8;2;5;4;1;15;14;3;0;5;4000000
2;34;Не первый и не последний;Кирпичные;Евроремонт;2;Да;Да;9;3;10;4;12;3;1;21;8;2;5;4;1;15;14;3;0;5;4000000
1;34,9;Не первый и не последний;Панельные;Евроремонт;2;Да;Да;0;0;2;0;0;0;0;0;4;0;0;0;0;1;1;0;0;1;2400000
3;105;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Нет;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5200000
1;27,5;Последний;Блочные;Дизайнерский ремонт;3;Да;Нет;0;0;2;0;0;0;0;0;2;0;0;0;0;1;2;1;0;0;1975000
1;45;Не первый и не последний;Кирпичные;Дизайнерский ремонт;3;Нет;Да;3;2;7;3;10;1;0;53;3;2;1;4;1;13;9;4;1;3;5650000
1;36;Не первый и не последний;Панельные;Дизайнерский ремонт;3;Да;Да;0;0;2;0;0;0;0;0;4;0;0;0;0;1;1;0;0;1;2350000
2;45,95;Первый;Блочные;Евроремонт;3;Да;Нет;0;0;2;0;0;0;0;0;2;0;0;0;0;1;2;1;0;0;2600000
1;36,6;Последний;Кирпичные;Евроремонт;3;Да;Нет;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2075000
3;80,8;Не первый и не последний;Панельные;Евроремонт;3;Да;Да;0;0;2;0;0;0;0;0;4;0;0;0;0;1;1;0;0;1;4600000
1;34,73;Не первый и не последний;Блочные;Косметический ремонт;3;Да;Нет;0;0;2;0;0;0;0;0;2;0;0;0;0;1;2;1;0;0;1380000
